iter	Passed	Remaining
0	1721	13205250
1	2693	10329140
2	3755	9600596
3	4732	9071909
4	4734	7259609
5	5955	7609476
6	6955	7615960
7	7963	7629100
8	8847	7533417
9	9733	7457848
10	9735	6780595
11	10628	6784812
12	11859	6987231
13	12982	7101337
14	13975	7133924
15	14853	7107311
16	15841	7133117
17	16966	7214635
18	17899	7209585
19	18811	7197336
20	19713	7182342
21	19717	6856146
22	20664	6872414
23	20669	6586792
24	21619	6613030
25	22608	6648764
26	23513	6657678
27	24462	6678133
28	25352	6681605
29	25355	6458869
30	26248	6469908
31	27140	6479824
32	28027	6487970
33	28922	6497299
34	28924	6311318
35	29820	6325255
36	30728	6340965
37	31622	6352766
38	32511	6363097
39	33425	6377559
40	34322	6388249
41	35214	6397225
42	35217	6248223
43	35218	6105633
44	36189	6133653
45	37130	6155586
46	38049	6172948
47	38942	6185302
48	39836	6197482
49	40735	6209792
50	41608	6217625
51	42501	6228112
52	43407	6240101
53	44310	6251022
54	45205	6260550
55	46087	6267855
56	46979	6276297
57	47862	6283235
58	48752	6290751
59	49653	6299385
60	50540	6305933
61	51429	6312563
62	52306	6317447
63	53194	6323479
64	54082	6329309
65	54974	6335337
66	55881	6342922
67	56762	6347367
68	56765	6254857
69	57654	6261279
70	58542	6267337
71	59443	6274629
72	59446	6188137
73	59448	6103925
74	60342	6112323
75	60347	6031550
76	60351	5952855
77	61243	5962563
78	62125	5971079
79	63005	5979189
80	63886	5987148
81	65043	6020502
82	66011	6035660
83	66967	6049407
84	67884	6059270
85	67906	5989954
86	68802	5998480
87	69684	6005545
88	70580	6013648
89	71464	6020518
90	72387	6030413
91	73301	6039395
92	74214	6048047
93	75098	6054226
94	75986	6060529
95	76887	6067682
96	77774	6073618
97	78672	6080227
98	79542	6084577
99	80427	6089985
100	81339	6097277
101	82221	6102102
102	83119	6108059
103	84009	6113329
104	84902	6118609
105	85780	6122790
106	86652	6126446
107	87549	6131721
108	88430	6135767
109	89293	6138497
110	90185	6143159
111	91114	6150200
112	92097	6160730
